fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=70.3296/149.9655): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=62.8665/149.9655): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=19.7794/149.9655): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=38.2906/149.9655): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=69.4427/149.9655): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=45.1222/149.9655): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=46.0867/149.9655): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=30.5605/149.9655): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=11.9605/149.9655): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=59.0556/149.9655): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=136.5058/149.9655): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=131.5691/149.9655): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=28.6874/149.9655): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=20.8104/149.9655): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=51.8279/149.9655): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=37.8975/149.9655): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=44.9207/149.9655): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=78.6868/149.9655): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=90.4854/149.9655): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=19.1394/149.9655): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=75.8149/149.9655): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=80.7493/149.9655): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=131.5291/149.9655): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=15.3239/149.9655): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=116.1893/149.9655): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=24.6197/149.9655): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=40.6344/149.9655): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=90.1815/149.9655): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=93.5434/149.9655): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=80.3207/149.9655): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=31.4114/149.9655): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=83.1246/149.9655): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=103.1681/149.9655): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=44.7774/149.9655): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=14.0232/149.9655): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=106.5484/149.9655): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=105.2878/149.9655): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=75.0390/149.9655): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=16.0664/149.9655): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:16 [DECISION][SRC=BASE] [api-node1: CPU=0.00%, Q=30.00, Lat=0.33ms -> Skor=74.9822] [api-node2: CPU=0.00%, Q=30.00, Lat=0.31ms -> Skor=74.9833]  ==> TERPILIH (FUZZY, roulette=132.4593/149.9655): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=78.4059/138.9321): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=120.5367/138.9321): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=3.9148/138.9321): api-node1
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=87.9726/138.9321): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=105.5397/138.9321): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=112.8740/138.9321): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=134.8440/138.9321): api-node2
fmopso-stack_entry-point.1.1f5kxmmu5141@node-loadbalancer    | 2026/05/05 03:19:17 [DECISION][SRC=BASE] [api-node1: CPU=50.48%, Q=30.00, Lat=76.63ms -> Skor=70.6524] [api-node2: CPU=50.24%, Q=30.00, Lat=132.57ms -> Skor=68.2796]  ==> TERPILIH (FUZZY, roulette=13.5241/138.9321): api-node1
